ReadCnt	SampID
9232	1229
5266	1230
16550	1231
14120	1237
31316	1238
1972	1239
3716	1241
30104	1244
10206	1253
238	1255
16326	1258
13384	1267
24042	1268
1530	1269
15232	1272
6614	1281
1164	1282
31394	1283
7984	1286
1422	1292
79106	1295
134	1296
11942	1299
14020	1311
4736	1312
7444	1313
7436	1314
14328	1317
16174	1326
2796	1327
5736	1328
23176	1331
3318	1340
71720	1341
16876	1344
1528	1345
14648	1350
1460	1354
1468	1355
3320	1358
11142	1368
5848	1369
7702	1372
13100	1373
6210	1380
269222	1381
19434	1405
5288	1406
5950	1408
3260	1409
34258	1412
13396	1413
8968	1414
2314	1415
12380	1418
3726	1427
7858	1428
6286	1430
12724	1445
4628	1454
154604	1455
27608	1458
5668	1459
20256	1460
1598	1467
7568	1468
30992	1471
12226	1481
27698	1482
9900	1485
4182	1495
1500	1496
3956	1497
9904	1500
26736	1509
2896	1510
11382	1511
116906	1514
2144	1522
2708	1523
3114	1526
7790	1534
103574	1535
11814	1538
159070	1539
12730	1548
11356	1549
69338	1552
12014	1560
10148	1561
6392	1564
7308	1573
3942	1574
46346	1577
159540	1586
25598	1587
696	1588
6150	1599
22660	1600
43862	1603
106654	1611
6710	1612
246338	1614
12530	1620
201018	1621
99900	1626
1274512	1627
9078	1659
4014	1660
68308	1663
6972	1671
4654	1672
8604	1675
3732	1696
3616	1697
1560	1700
7356	1701
5780	1721
24574	1722
31376	1725
4188	1733
6436	1734
2374	1737
878	1758
16500	1759
8214	1762
4842	1763
5400	1806
6402	1807
4634	1821
1558	1822
7116	1823
2038	1826
11770	1843
1790	1844
10340	1858
4300	1859
17886	1860
6644	1863
8002	1868
3136	1869
8532	1871
10948	1874
592	1883
380	1884
7558	1885
24218	1888
7828	1908
6888	1909
5996	1912
4038	1959
6778	1960
2768	1963
3398	1995
16240	1996
2964	1999
12048	1
1092	2030
13782	2034
13234	2035
7622	2038
22522	2053
904	2054
16272	2055
5032	2058
2048	2078
1688	2079
8240	2082
11502	2120
121576	2121
5368	2124
8230	2152
6372	2158
542	2159
3770	2163
1216	2171
3534	2172
10400	2173
8796	2176
269822	2187
26858	2188
223060	2191
2902	2192
70606	2194
3656	2204
33362	2205
912	2209
1662	2210
3638	2213
3218	2218
6938	2219
6434	2223
902	2224
7762	2227
7330	2235
1002	2236
7874	2239
2066	2242
2542	2250
984	2251
1184	2254
5016	2261
4606	2262
5394	2265
137840	2273
3442	2274
31936	2277
457678	2278
5664	2286
7216	2287
8156	2290
3018	2291
1070	2292
11022	2300
3454	2301
3162	2304
14750	2324
4830	2325
1862	2328
1144	2350
10760	2351
487486	2354
61544	2355
4244	2386
6116	2387
7970	2390
68446	2398
6994	2399
834	2408
4802	2409
9842	2413
12410	2415
2786	2416
20080	2519
3254	2524
9808	2525
5046	2528
5880	2583
4394	2586
5210	2587
5076	2590
3012	2608
8090	2609
6260	2612
248	2658
1816	2659
5636	2662
2442	2696
288	2697
10442	2700
72532	2780
3928	2781
412	2783
4978	2784
3416	2787
1258	2788
5362	2803
2422	2804
6038	2806
2932	2807
22820	2810
556	2811
27970	2834
608	2835
4956	2836
3398	2839
1406	2875
8822	2876
10326	2879
10672	2908
4538	2909
9906	2913
4348	2928
314	2929
8362	2932
1524	2933
3606	2953
14344	2954
13098	2955
3042	2958
2978	2967
2088	2968
10924	2969
5220	2972
2830	2
1346	3014
8042	3015
398	3018
9570	3019
702	3022
2714	3023
16660	3056
15122	3057
1538	3060
10258	3061
9842	3098
3930	3099
1896	3102
8468	3103
770	3108
8458	3109
250	3111
578	3112
4636	3115
4114	3124
1298	3125
914	3126
1440	3129
2436	3137
29082	3138
64868	3141
660	3174
6320	3175
9628	3178
6830	3186
37132	3187
538	3190
60144	3278
26118	3279
3474	3282
2262	3
2026	4
57030	Negative
647522	Positive
8385534	
